year,south.sst.ndjfm,south.sst.amj,north.sst.ndjfm,north.sst.amj,AO.jfm,SE.wind.Oct.Apr,NW.wind.Oct.Apr,SE.wind.May.Sep,NW.wind.May.Sep,summer.cold.pool.extent,summer.bottom.temp,ice.area.jfma,m8.march.ice,m5.march.ice,m4.march.ice,maisie.ice.extent.jfma,north.wind.stress.amj,south.wind.stress.amj,M2.JFMAM.60.72m.temp,M2.JFMAM.10.15m.salinity,M2.JAS.10.15m.salinity,M2.JFMAM.40.55m.salinity,M2.JAS.40.55m.salinity,M2.OND.40.55m.salinity,
1951,0.562546859,1.117271192,-1.547453854,-1.588668303,-0.805,0.159326311,0.104772877,0.144301075,0.091397849,NA,NA,NA,56,43,19,NA,0.073349738,0.046849842,NA,NA,NA,NA,NA,NA,
1952,1.286561327,1.13550136,-1.351338658,-1.497216149,-1.080666667,0.193315324,0.224937762,0.20344086,0.209032258,NA,NA,NA,53,42,21,NA,0.044521366,0.039962741,NA,NA,NA,NA,NA,NA,
1953,0.985918563,2.695747469,-1.601396734,-0.764500163,-0.073,0.188457318,0.131742374,0.210322581,0.156129032,NA,NA,NA,67,44,9,NA,0.062760405,0.037500439,NA,NA,NA,NA,NA,NA,
1954,0.89775975,2.375414993,-1.503604458,-0.254071604,0.049,0.188983981,0.164274742,0.124516129,0.207956989,NA,NA,NA,57,47,28,NA,0.031391945,0.042310319,NA,NA,NA,NA,NA,NA,
1955,1.055010245,1.7616364,-1.52129898,-0.665141821,-1.423333333,0.195918367,0.102797893,0.235053763,0.164301075,NA,NA,NA,57,46,18,NA,0.056875609,0.038413288,NA,NA,NA,NA,NA,NA,
1956,0.494004276,2.435068479,-1.613161088,0.681026079,-0.92,0.243535145,0.121987393,0.261505376,0.158064516,NA,NA,NA,81,53,25,NA,0.066149655,0.037182684,NA,NA,NA,NA,NA,NA,
1957,0.571386767,3.203302817,-1.775184939,0.430734945,-0.486666667,0.130107527,0.184342769,0.176344086,0.129677419,NA,NA,NA,87,58,35,NA,0.052535374,0.041814844,NA,NA,NA,NA,NA,NA,
1958,1.804055363,3.377070926,-0.611222902,1.726215509,-2.063333333,0.122865921,0.155058152,0.227526882,0.104731183,NA,NA,NA,56,42,32,NA,0.067990509,0.061520376,NA,NA,NA,NA,NA,NA,
1959,0.97672966,2.232795223,-1.590935733,-0.972500042,0.653333333,0.16374808,0.147048497,0.288817204,0.11827957,NA,NA,NA,18,29,22,NA,0.067955686,0.037801431,NA,NA,NA,NA,NA,NA,
1960,1.25378347,2.521915088,-1.264376435,1.023756327,-2.103333333,0.122766036,0.136940516,0.28172043,0.143010753,NA,NA,NA,78,48,7,NA,0.057746099,0.042883349,NA,NA,NA,NA,NA,NA,
1961,1.275567377,2.463496708,-1.648113624,-0.23923388,-0.182666667,0.18418916,0.149615975,0.16344086,0.182365591,NA,NA,NA,54,39,7,NA,0.03980152,0.038974958,NA,NA,NA,NA,NA,NA,
1962,1.35408002,1.734126818,-1.60158605,-0.439758342,-0.522666667,0.150109721,0.170945798,0.308602151,0.221505376,NA,NA,NA,10,4,0,NA,0.044673328,0.056012075,NA,NA,NA,NA,NA,NA,
1963,1.298334751,2.209999195,-1.463198848,0.449730609,-1.435333333,0.173985078,0.139697169,0.229892473,0.143655914,NA,NA,NA,57,20,16,NA,0.038012143,0.038078897,NA,NA,NA,NA,NA,NA,
1964,1.361369211,2.469037193,-1.643146154,-1.534200867,-0.249333333,0.226834048,0.13103978,0.208817204,0.202580645,NA,NA,NA,74,54,6,NA,0.061465431,0.03748443,NA,NA,NA,NA,NA,NA,
1965,1.143453068,2.070353234,-1.699195113,-0.589890166,-1.345,0.184529296,0.126486724,0.150107527,0.190107527,NA,NA,NA,68,50,22,NA,0.028973739,0.0425396,NA,NA,NA,NA,NA,NA,
1966,1.647058724,2.631100609,-1.613033047,0.226646703,-1.860333333,0.140004389,0.142933948,0.27483871,0.137419355,NA,NA,NA,47,27,0,NA,0.060254436,0.062122385,NA,NA,NA,NA,NA,NA,
1967,1.496525902,4.181368929,-1.084339253,2.24278759,0.858,0.159359228,0.218268598,0.183225806,0.137849462,NA,NA,NA,41,41,7,NA,0.030624054,0.051717013,NA,NA,NA,NA,NA,NA,
1968,1.468200421,2.630402589,-1.239374523,0.20494065,-0.273,0.178844218,0.129964511,0.19827957,0.180860215,NA,NA,NA,33,19,6,NA,0.047847245,0.037351864,NA,NA,NA,NA,NA,NA,
1969,1.421185788,2.622351264,-1.241056475,0.513621309,-2.553333333,0.127781435,0.192264648,0.202150538,0.151397849,NA,NA,NA,23,20,0,NA,0.053120746,0.044521327,NA,NA,NA,NA,NA,NA,
1970,1.772398114,2.567188774,-1.682977595,0.522345556,-1.94,0.117390827,0.12682686,0.21483871,0.163225806,NA,NA,NA,73,30,0,NA,0.046742575,0.04659616,NA,NA,NA,NA,NA,NA,
1971,1.470014488,0.885219441,-1.519683722,-0.630507888,-0.725,0.17512618,0.122032039,0.242365591,0.150537634,NA,NA,NA,55,51,21,NA,0.07432899,0.059737798,NA,NA,NA,NA,NA,NA,
1972,0.776205814,1.152030308,-1.397646677,0.558001192,-0.056333333,0.173139467,0.14136342,0.144516129,0.209247312,NA,NA,NA,58,29,0,NA,0.03596936,0.06122728,NA,NA,NA,NA,NA,NA,
1973,1.30072795,1.889219793,-1.282622254,-0.189798519,0.851,0.227079219,0.16395655,0.209677419,0.169677419,NA,NA,NA,43,31,8,NA,0.056362866,0.041778131,NA,NA,NA,NA,NA,NA,
1974,1.519846248,2.463899711,-1.198901714,1.034041558,-0.334333333,0.214461268,0.150449857,0.211612903,0.208172043,NA,NA,NA,58,35,13,NA,0.07868597,0.040305577,NA,NA,NA,NA,NA,NA,
1975,1.438154668,1.702329747,-1.262200837,0.338624589,0.645,0.199001536,0.128648233,0.229892473,0.123870968,NA,NA,NA,89,71,19,NA,0.042031388,0.034096134,NA,NA,NA,NA,NA,NA,
1976,0.926989727,1.354324974,-1.378224982,-0.08393435,0.760433333,0.243995974,0.089411515,0.189462366,0.247096774,NA,NA,NA,89,76,47,NA,0.044110095,0.024377633,NA,NA,NA,NA,NA,NA,
1977,1.863590192,2.600508021,-0.847936246,0.23516077,-1.812,0.155244679,0.071900373,0.23655914,0.149247312,NA,NA,NA,90,78,12,NA,0.031973715,0.043394767,NA,NA,NA,NA,NA,NA,
1978,1.982677121,3.562825015,-1.372770597,1.36011486,-0.951666667,0.097695853,0.208711872,0.18344086,0.221290323,NA,NA,NA,33,22,0,NA,0.059634135,0.041571353,NA,NA,NA,NA,NA,NA,
1979,2.497666651,3.945976076,-0.937459573,1.639453214,-1.247,0.088479263,0.252128593,0.084946237,0.215698925,NA,NA,-175304,16,0,0,NA,0.057326049,0.069192032,NA,NA,NA,NA,NA,NA,
1980,1.971676849,2.773176627,-0.728200907,0.685135222,-1.478,0.165490757,0.116621643,0.175698925,0.177419355,NA,NA,65183.5,54,43,17,NA,0.08872675,0.053829076,NA,NA,NA,NA,NA,NA,
1981,1.746203092,4.449331489,-1.087987383,1.533536158,-0.696,0.142593812,0.131928901,0.210322581,0.129462366,NA,NA,-5302.25,73,45,8,NA,0.035981144,0.024292776,NA,NA,NA,NA,NA,NA,
1982,2.054610418,2.399695888,-1.120196954,0.596695895,0.387,0.207164801,0.17667325,0.118064516,0.23483871,NA,NA,-75967.5,40,14,0,NA,0.030571861,0.051532902,NA,NA,NA,NA,NA,NA,
1983,1.660896154,3.776380782,-1.279744376,0.846719021,-0.339,0.101996928,0.145962256,0.149892473,0.104086022,NA,NA,39875.5,47,34,11,NA,0.049354674,0.032889135,NA,NA,NA,NA,NA,NA,
1984,2.295584833,2.955183733,-1.061676892,0.941720851,-0.596,0.147068171,0.134562212,0.175053763,0.106236559,NA,NA,49979.75,29,19,0,NA,0.054876858,0.042119319,NA,NA,NA,NA,NA,NA,
1985,2.738626575,1.941521796,-1.134461976,-0.076664015,-1.233,0.17852754,0.131709458,0.137849462,0.150752688,NA,NA,-65590.5,19,0,0,NA,0.043340545,0.056095955,NA,NA,NA,NA,NA,NA,
1986,2.241278772,2.703281119,-0.932777775,1.218356824,-0.512666667,0.192604784,0.223337722,0.110537634,0.215913978,NA,NA,-20182.75,29,18,8,NA,0.034425813,0.037126076,NA,NA,NA,NA,NA,NA,
1987,2.757355789,3.448328205,-1.283772568,-0.157757957,-1.456666667,0.084825543,0.207384244,0.249247312,0.156989247,NA,NA,-19997.25,43,15,0,NA,0.052185052,0.035700812,NA,NA,NA,NA,NA,NA,
1988,2.240328337,2.863729994,-1.112429527,1.320805926,-0.334,0.192822713,0.153631019,0.170107527,0.228172043,56942,2.1366848,54326,58,0,0,NA,0.059303279,0.040447575,NA,NA,NA,NA,NA,NA,
1989,1.705470231,3.12135954,-1.096935795,1.3921181,2.64,0.149001536,0.18409041,0.124516129,0.149247312,29674,2.8847645,-125403,83,46,24,NA,0.038422632,0.030845266,NA,NA,NA,NA,NA,NA,
1990,1.789810442,3.268418643,-0.646095259,0.74260893,2.463333333,0.150296248,0.103138029,0.164301075,0.278924731,45313,2.0970684,73248,69,30,0,NA,0.022937345,0.034617548,NA,NA,NA,NA,NA,NA,
1991,1.893376184,2.665274209,-0.878320795,0.36995212,-0.226666667,0.189137591,0.116008339,0.215698925,0.077849462,40501,2.4874627,94273.75,64,25,6,NA,0.046856724,0.033053882,NA,NA,NA,NA,NA,NA,
1992,2.027937932,2.926273113,-0.514540676,0.338391033,0.884666667,0.155055882,0.146453732,0.163010753,0.144086022,60551,1.6310127,85779.75,76,43,12,NA,0.042783517,0.054778439,NA,NA,NA,NA,NA,NA,
1993,1.695667137,3.704712519,-1.155360052,0.869331403,1.483,0.13208251,0.156265087,0.144946237,0.129677419,35288,2.8414414,-6670.75,71,44,26,NA,0.075589768,0.035046962,NA,NA,NA,NA,NA,NA,
1994,2.599579259,3.414402182,-0.893672375,1.826711828,0.243333333,0.19649989,0.175499232,0.190107527,0.124086022,54135,1.6144828,30040.75,55,27,5,NA,0.080357449,0.045423334,NA,NA,NA,NA,NA,NA,
1995,1.671790449,2.671529867,-1.418206523,0.95878647,0.556333333,0.249659864,0.12317314,0.202580645,0.117849462,71378,1.5247159,136191.75,76,53,23,NA,0.048351984,0.03063692,-0.858613115,-0.002955771,0.279974813,0.125339668,-0.441363939,NA,
1996,2.31614688,3.601655176,-1.212667289,1.726506639,-0.839,0.103554214,0.182880449,0.190752688,0.189247312,27669,3.2812155,-127824,31,8,0,NA,0.072288809,0.049748208,-1.1800081,-3.00395968,-0.785652475,-3.351507164,NA,1.060378019,
1997,1.980023928,3.642102128,-0.677436745,1.481281974,0.841,0.164614878,0.15638578,0.151182796,0.201075269,43308,2.629096,-11795.75,30,30,15,NA,0.039602748,0.050804856,-1.377983267,1.369278145,-0.810157344,2.050698998,0.98614454,-0.793942845,
1998,1.956754064,3.257819589,-0.657618245,-0.061115946,-0.839,0.108514373,0.108174237,0.208817204,0.143655914,25664,3.1137143,98003,78,51,25,NA,0.066058437,0.057298375,-0.092362104,0.239750977,0.581546449,-0.32067375,0.071674729,0.150337599,
1999,1.934450227,1.967932946,-1.385354096,0.603292929,-0.299333333,0.226771999,0.161981567,0.177204301,0.183010753,99047,0.7126801,126510.25,78,28,0,NA,0.042443541,0.031626321,-1.294070258,-1.014003749,-0.169064241,-0.248741979,-0.46687539,-0.719978432,
