Benthic_invert,Benthic_predator
50000,21720
50001,21722
50010,20510
50160,10120
50192,420
56310,435
56311,440
56312,455
56313,471
57409,472
65100,480
65201,460
65203,485
66019,10140
66020,10130
66030,10115
66031,10220
66045,21347
66150,21348
66170,21368
66171,21370
66175,21388
66179,21420
66502,21311
66515,21315
66570,21390
66580,21438
68040,21371
68510,24184
68577,24191
68578,24185
68781,20320
69010,20322
69035,78010
69042,78012
69060,78403
69061,
69070,
69086,
69090,
69095,
69110,
69120,
69121,
69400,
71010,
71018,
71025,
71026,
71030,
71500,
71524,
71535,
71537,
71575,
71580,
71583,
71590,
71634,
71640,
71681,
71710,
71721,
71730,
71731,
71747,
71750,
71753,
71756,
71761,
71763,
71769,
71771,
71772,
71800,
71820,
71835,
71870,
71882,
71884,
71886,
71890,
72063,
72420,
72500,
72740,
72743,
72751,
72752,
72755,
72790,
74000,
74050,
74060,
74065,
74080,
74104,
74120,
74310,
74311,
74414,
74560,
74562,
74980,
74983,
75111,
75201,
75205,
75240,
75241,
75264,
75267,
75284,
75285,
75286,
75287,
75600,
75605,
80015,
80020,
80110,
80200,
80540,
80590,
80660,
80728,
80730,
81060,
81095,
81310,
81355,
81742,
81780,
81829,
81870,
81910,
82510,
82511,
82730,
82740,
83020,
83320,
83400,
85000,
85169,
85201,
92500,
93100,
94000,
94500,
