,YEAR,Gersemia,Pennatulacea,Actinaria,Polychaeta,Barnacles,Shrimps,Crabs,Gastropods,Bivalves,Asteroidea,Echinoidea,Ophiuroidea,Holothuroidea,Porifera,Bryozoans,Ascidians,Total_Benthic
1,1982,0.295506809,0.110237115,10.24862175,5.262117558,0,1.96720086,99.02979348,143.5789507,1.82571046,361.5018526,0.45516198,30.69366211,5.969967426,40.86308052,0,61.67045594,790.4536179
2,1983,0.045562845,0.043052155,8.520032452,0.005542725,0,0.088477804,86.52105707,117.0928616,1.098159223,314.2574494,0.071739872,22.43847313,6.716630087,36.27203054,0.008245489,48.88522811,667.523828
3,1984,0.771550045,0.228678559,30.99506836,0.71527218,0.019536733,0.229446858,181.8683547,187.2469518,1.579800063,307.5552249,2.899819197,31.64123483,8.721834284,22.93045856,0.558964595,96.04481663,878.2264116
4,1985,1.013673828,0.075087458,6.625147688,0.619495541,1.835492546,0.180207156,61.63020258,70.11774699,2.860210665,337.0082221,0.205876558,11.7986914,6.598655109,17.20439846,0.034504834,42.79452806,563.36545
5,1986,1.501474775,0.39836277,21.88683481,0.348203854,0.081878668,0.121157929,106.1854513,101.8439474,0.813641827,265.4095661,0.048800674,21.72506681,6.886629849,33.11612099,0.145949275,51.88318372,632.8110593
6,1987,4.796418912,0.134081807,27.93699339,0.850588753,0.116026793,0.309541976,198.1361836,162.378474,2.199213286,548.9712817,0.156870089,43.28835192,15.38514994,41.44982734,0.48054327,125.6727527,1184.28768
7,1988,3.812448053,0,34.61533203,1.670335809,0.550993498,0.842206067,220.9331914,196.5039471,2.083241372,490.1054994,0.153014877,59.21080318,14.29787038,42.41184681,2.655102406,150.5575431,1223.807528
8,1989,1.97684575,0,50.19130811,0.125177776,2.685079767,0.368522605,189.8746287,146.3672157,7.31499742,489.9539113,1.289932016,34.05424089,6.371101558,34.36357707,4.320361957,86.62439322,1065.710836
9,1990,4.318564687,0.010289712,27.95920545,22.93759276,2.595531833,0.856145197,233.0914328,135.005837,4.816037963,541.7926435,0.548482808,57.43899709,9.661092914,30.18831378,3.69928866,104.7274814,1190.031754
10,1991,3.209978556,0.380280316,29.6172622,0.211268367,0.02214346,0.716246273,243.1736768,118.250509,1.104676041,657.9379735,0.269947164,51.32753927,11.30788586,15.19373386,1.021178458,96.73138737,1235.32531
11,1992,2.982054575,0.004582352,19.94457621,0.215946756,0,0.101868149,166.1550041,126.9609286,3.845567206,556.2326354,0.185544087,34.62681535,5.953517606,46.62906469,1.439818821,79.47400375,1049.790539
12,1993,2.238245593,0.041323483,21.97957941,1.941490299,0.577431198,0.295355893,165.5340406,113.497595,2.035016922,678.4848408,10.59784086,56.17688846,7.07205046,104.6229791,4.158799759,106.462368,1276.416891
13,1994,4.507072211,0.026327943,22.15471031,0.799990809,0,0.111773712,178.3128751,138.5545803,5.089058322,646.5037574,2.238231874,40.53279448,7.03738099,100.7915843,3.604678188,135.8918635,1286.820613
14,1995,1.025253184,0.083195751,35.73456458,3.803763536,0.049733608,0.081137809,131.6718469,151.933209,3.1104839,493.2960372,17.45504213,49.23243043,8.070577832,109.8984184,0.407774427,153.4586382,1165.840998
15,1996,4.70039532,0,29.99409889,2.187496734,0.053081194,0.245704603,140.6562472,126.0306975,11.69455952,470.4657182,1.01788575,65.42508953,2.27980231,171.2988311,4.955676215,206.5400383,1240.359435
16,1997,8.696768545,0.057279397,28.96820089,2.085285595,0.134671751,0.86890444,166.2216403,162.0033934,16.12304577,780.3220519,1.614757644,71.13202448,12.09578969,353.8525904,16.132087,284.2167724,1906.107876
17,1998,6.699466848,0.011565636,35.06113723,0.613033602,0.403315552,0.204847586,134.1455073,153.8388362,3.137717338,484.877626,0.493974774,61.28254752,6.8462393,248.0460612,3.238213525,113.2451815,1252.744997
18,1999,2.39058821,0.115779839,13.58447778,13.67678336,0.548674883,0.237212161,123.2974893,107.3266764,2.904099717,352.7989513,0.598298734,52.80888737,7.454471036,364.3023692,0.216303466,92.60039728,1136.252574
19,2000,3.599794005,0,30.89879781,0.441085654,0.580449514,0.171961667,154.7773952,124.9608007,3.978030098,363.2860063,5.845173799,65.10358405,9.466068573,453.3624744,2.643084022,166.3393957,1386.180637
