SURVEY_YEAR,MEAN_BT,CPA,Mean_PDO
1979,5.677952755905512,0,-0.2607029146666667
1982,1.7954545454545454,30075,0.23114938480000002
1983,3.511851851851852,6416,0.5516918166
1984,2.9775193798449613,16040,1.2424875552
1985,3.0731092436974787,9624,0.5516653308
1986,2.16484375,22456,0.6751760802
1987,3.693939393939394,0,1.586316878
1988,2.702272727272727,15639,0.9447401676
1989,2.734108527131783,14035,-0.4962168288
1990,2.9052083333333334,3208,-0.467898875
1991,3.2741935483870965,4411,-1.1848327978
1992,2.3066666666666666,15639,0.3702953712
1993,3.359016393442623,8421,0.4021075012
1994,2.4717557251908397,17243,0.799043238
1995,1.9533834586466166,24461,-0.5763662686
1996,3.7792307692307694,4812,0.6895803696
1997,2.8474074074074074,15639,0.4685496678
1998,3.835384615384615,0,1.3863335432
1999,1.2171974522292994,41704,-0.3343374338
2000,2.580132450331126,23258,-1.1206364064
2001,3.3044776119402983,4812,0.338395511
2002,3.571111111111111,802,-0.5618404266
2003,4.0661654135338345,802,1.5505341536
2004,3.7723880597014925,0,0.10206060759999999
2005,4.2846153846153845,0,0.0039690896000000005
2006,2.7460122699386504,18446,-0.0839486738
2007,2.3392857142857144,28471,-0.3005488526
2008,1.986904761904762,37293,-0.8524801068
2009,2.000595238095238,34887,-1.280428432
2010,2.1936708860759495,26867,0.04068620299999998
2011,3.2314102564102565,9223,-1.0618028492
2012,1.54,39298,-1.5856861623999998
2013,2.3742647058823527,22456,-0.9106251716
2014,4.148529411764706,401,-0.374687055
2015,4.490441176470588,0,1.642540186
2016,5.488235294117647,0,1.1257744928
2017,3.112820512820513,18446,0.8152820732
2018,4.613235294117647,0,0.1419503666
2019,5.10514705882353,0,0.2283953806
1980,NA,NA,0.515791257
1981,NA,NA,0.9174698934000001
