YEAR,MONTH,north_bering_wind,south_bering_wind,north_bering_chl,south_bering_chl
1988,6,5.1540976,5.54378,NA,NA
1989,6,4.5395885,5.8576083,NA,NA
1990,6,4.0583577,4.5326767,NA,NA
1991,6,4.8811183,5.596885,NA,NA
1992,6,5.2035007,6.5140643,NA,NA
1993,6,5.1461663,5.604068,NA,NA
1994,6,5.0623713,5.430218,NA,NA
1995,6,4.734479,5.1159782,NA,NA
1996,6,6.2267556,6.9278274,NA,NA
1997,6,3.9381359,4.620138,NA,NA
1998,6,5.0955634,5.627217,NA,NA
1999,6,4.7136536,5.6825624,NA,NA
2000,6,5.2501955,5.955328,NA,NA
2001,6,5.5871754,5.180389,NA,NA
2002,6,4.756685,5.3527274,NA,NA
2003,6,5.0267353,5.9838796,NA,NA
2004,6,4.7720804,5.49257,NA,NA
2005,6,4.6270366,5.7402186,NA,NA
2006,6,5.3991814,5.0170097,NA,NA
2007,6,5.0065193,5.6662564,NA,NA
2008,6,4.714955,4.980064,NA,NA
2009,6,5.2455683,5.5240746,NA,NA
2010,6,5.6742096,6.2406397,NA,NA
2011,6,5.2744336,6.4215493,NA,NA
2012,6,5.833901,5.989646,NA,NA
2013,6,4.558097,5.089838,NA,NA
2014,6,5.753866,6.553601,NA,NA
2015,6,6.80203,6.575663,NA,NA
2016,6,6.2668066,6.5233936,NA,NA
2017,6,5.747817,5.662186,NA,NA
2018,6,6.250792,6.3065424,NA,NA
2019,6,5.7716618,6.1413784,NA,NA
1998,5,NA,NA,2.0484996,0.9056836
1999,5,NA,NA,1.5888108,1.3210937
2000,5,NA,NA,1.6642733,1.6256533
2001,5,NA,NA,1.8412138,1.6068652
2002,5,NA,NA,1.757999,1.5692265
2003,5,NA,NA,1.8817675,1.5800278
2004,5,NA,NA,1.9456164,1.9175584
2005,5,NA,NA,1.984269,2.0962777
2006,5,NA,NA,2.6285136,1.1593533
2007,5,NA,NA,1.9937772,1.6109686
2008,5,NA,NA,2.3060112,2.2333999
2009,5,NA,NA,2.3270445,2.0043223
2010,5,NA,NA,2.1480837,2.2024074
2011,5,NA,NA,1.8570949,1.9386663
2012,5,NA,NA,2.0639768,1.7809626
2013,5,NA,NA,1.7240397,1.7933309
2014,5,NA,NA,1.7296591,1.6812049
2015,5,NA,NA,1.6531384,1.6530921
2016,5,NA,NA,1.3906195,1.4484148
2017,5,NA,NA,1.7464465,1.2686149
2018,5,NA,NA,1.4794682,1.1584253
